鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
西區,房地(土地+建物)+車位,臺中市西區五權西四街1~30號,10.76,住,,,1081228,土地3建物1車位2,二層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890803,213.86,4,2,2,有,有,11600000,49681,坡道平面,28.68,2400000,,RPTQMLNKJHPFFAB97CA
南區,房地(土地+建物),臺中市南區忠明南路691巷1~30號,80.0,住,,,1081120,土地3建物1車位0,全,二層,透天厝,住家用,見其他登記事項,0620712,80.56,5,3,4,有,無,10100000,125372,,0.0,0,,RPRNMLOKJHPFFAB57CA
中區,房地(土地+建物),臺中市中區中華路一段121~150號,1.65,商,,,1090101,土地1建物1車位0,十八層,十九層,套房(1房1廳1衛),見其他登記事項,鋼骨鋼筋混凝土造,0850520,34.08,1,1,2,有,有,1750000,51350,,0.0,0,,RPUOMLOKJHPFFAB97CA
中區,房地(土地+建物),臺中市中區中華路一段121~150號,1.65,商,,,1090102,土地1建物1車位0,十六層,十九層,套房(1房1廳1衛),見其他登記事項,鋼骨鋼筋混凝土造,0850520,34.08,1,1,1,有,有,1600000,46948,,0.0,0,,RPVOMLOKJHPFFAB08CA
南區,房地(土地+建物),臺中市南區明德街31~60號,239.0,住,,,1081214,土地4建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,0850415,1035.57,6,3,5,有,無,16800000,16223,,0.0,0,二親等間買賣,RPXOMLOKJHPFFAB28CA
西區,房地(土地+建物),臺中市西區公益路331~360號,3.02,住,,,1081226,土地1建物1車位0,十五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830825,39.07,1,1,1,有,有,2100000,53750,,0.0,0,,RPPNMLPKJHPFFAB47CA
西區,房地(土地+建物),臺中市西區三民路一段50巷1~30號,2.73,住,,,1081218,土地2建物1車位0,四層,十九層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840113,35.29,1,1,1,有,有,1500000,42505,,0.0,0,,RPUNMLPKJHPFFAB97CA
南區,房地(土地+建物)+車位,臺中市南區工學路155巷1~30號,27.51,住,,,1081204,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050328,178.0,3,2,2,有,有,12020000,67528,坡道平面,32.41,0,,RPQOMLPKJHPFFAB67CA
南區,房地(土地+建物),臺中市南區五權南路631~660號,30.0,住,,,1081210,土地1建物2車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701226,89.39,6,0,6,有,無,5530000,61864,,0.0,0,含增建或未登記建物。;,RPRRMLPKJHPFFAB08CA
