鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南五街271~300號,13.24,住,,,1081218,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011025,149.61,3,2,2,有,有,10000000,66840,坡道機械,6.7,0,,RPVNMLNKJHPFFAE18CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區昌盛路1~30號,7.55,商,,,1081221,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880930,77.42,2,2,1,有,有,4880000,60821,坡道機械,7.05,600000,含增建或未登記建物。,RPQNMLOKJHPFFAE77CA
鹽埕區,房地(土地+建物),高雄市鹽埕區七賢三路211~240號,168.0,商,,,1081211,土地2建物1車位0,全,五層,透天厝,住商用,鋼筋混凝土造,0961002,665.84,11,6,7,有,無,30000000,45056,,0.0,0,,RPUOMLOKJHPFFAE28CA
鼓山區,房地(土地+建物),高雄市鼓山區大榮街44巷1~30號,71.0,住,,,1081228,土地1建物1車位0,全,二層,透天厝,,加強磚造,0580322,83.1,2,1,2,有,無,5200000,62575,,0.0,0,,RPQNMLPKJHPFFAE87CA
鼓山區,房地(土地+建物),高雄市鼓山區文忠路181~210號,16.95,商,,,1081224,土地1建物1車位0,六層，電梯樓梯間,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830124,126.75,2,2,2,有,有,5700000,44970,,0.0,0,,RPSNMLPKJHPFFAE08CA
前金區,房地(土地+建物),高雄市前金區河南二路91~120號,3.28,商,,,1081211,土地2建物1車位0,三層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0790807,28.18,1,1,1,有,有,1450000,51455,,0.0,0,,RPVNMLPKJHPFFAE38CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區翠華路271~300號,27.95,住,,,1081227,土地1建物1車位1,七層,二十八層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1050203,341.73,4,2,3,有,有,25600000,74913,坡道平面,0.0,0,,RPPOMLQKJHPFFAE97CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區神農路61~90號,21.11,商,,,1080703,土地1建物1車位2,十八層,三十六層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1041104,360.53999999999996,0,0,0,無,有,56800000,160169,坡道平面,38.38,5200000,,RPTOMLQKJHPFFAE38CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區神農路61~90號,32.22,商,,,1081024,土地1建物1車位2,十五層,三十六層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1041104,563.3,0,0,0,無,有,94280000,168940,坡道平面,38.38,5600000,,RPUOMLQKJHPFFAE48CA
