鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
文山區,房地(土地+建物)+車位,臺北市文山區興順街80巷1~30號,22.52,住,,,1081222,土地1建物1車位2,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960125,129.69,2,2,1,有,有,17960000,138484,坡道機械,42.48,0,,RPSOMLPKJHPFFAA77CA
萬華區,房地(土地+建物)+車位,臺北市萬華區環河南路一段91~120號,32.79,住,,,1081216,土地1建物1車位4,二十二層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1031107,338.91,3,2,2,有,有,52800000,155794,坡道平面,0.0,0,,RPUPMLNKJHPFFBA97CA
大同區,房地(土地+建物)+車位,臺北市大同區民權西路211~240號,13.73,其他,,,1081218,土地3建物1車位1,十一層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080625,184.62,3,2,2,有,有,35500000,225786,坡道平面,39.35,2700000,,RPQPMLRKJHPFFBA97CA
中山區,房地(土地+建物),臺北市中山區天祥路61~90號,6.63,商,,,1081115,土地1建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931203,70.09,4,2,1,有,有,17580000,250820,,0.0,0,含增建或未登記建物。;,RPPPMLOKJHPFFCA67CA
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路三段1~30號,33.87,住,,,1080831,土地2建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080418,217.28,4,2,2,有,無,41080000,189065,坡道平面,38.92,0,,RPQQMLNJKHPFFCA77CA
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路三段1~30號,38.23,住,,,1081214,土地2建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080418,235.63,4,2,3,有,無,43500000,184611,坡道平面,34.2,0,,RPRQMLNJKHPFFCA87CA
松山區,房地(土地+建物),臺北市松山區南京東路五段31~60號,9.58,其他,,,1081224,土地1建物1車位0,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0690207,94.75999999999999,2,2,1,有,有,22100000,233221,,0.0,0,,RPPQMLOKJHPFFDA87CA
士林區,房地(土地+建物)+車位,臺北市士林區承德路四段301~330號,20.66,住,,,1081130,土地2建物1車位3,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011109,255.54,3,2,2,有,有,42800000,167488,坡道平面,85.67,0,含增建或未登記建物。;,RPWNMLQKJHPFFEA58CA
大安區,房地(土地+建物),臺北市大安區忠孝東路四段211~240號,21.85,商,,,1081213,土地4建物1車位0,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,215.36,4,2,3,有,有,51680000,239970,,0.0,0,,RPSNMLPKJHPFFFA18CA
大安區,房地(土地+建物)+車位,臺北市大安區敦南街61~90號,61.4,住,,,1081118,土地1建物1車位3,六層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1051005,529.31,4,2,4,有,有,165880000,313389,坡道平面,88.8,0,,RPWNMLRJKHPFFFA78CA
