鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
板橋區,房地(土地+建物),新北市板橋區三民路一段31巷89弄1~30號,24.4,住,,,1081227,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700307,85.25,3,2,1,有,無,7400000,86804,,0.0,0,,RPSQMLNKJHPFFAF28CA
土城區,土地,運校段961~990地號,42.47,住,,,1090103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3750000,88298,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUSMLNKJHPFFAF68CA
板橋區,房地(土地+建物),新北市板橋區民生路三段301~330號,3.2,住,,,1081226,土地1建物1車位0,二十二層,三十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0950914,94.78999999999999,0,0,0,無,有,13600000,143475,,0.0,0,含增建或未登記建物。;,RPUOMLOKJHPFFAF38CA
土城區,房地(土地+建物)+車位,新北市土城區永豐路13巷1~30號,33.34,住,,,1081217,土地1建物1車位1,二層,六層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1041224,139.25,3,2,2,有,無,15500000,111311,塔式車位,12.91,0,含增建或未登記建物。;,RPWPMLOKJHPFFAF68CA
土城區,土地,冷水段181~210地號,271.77,其他,,,1081225,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,19255617,70853,,0.0,0,,RPXPMLOKJHPFFAF78CA
土城區,土地,冷水段181~210地號,45.29,其他,,,1081225,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3208790,70850,,0.0,0,,RPOQMLOKJHPFFAF97CA
土城區,房地(土地+建物),新北市土城區青山路2巷1~30號,26.06,住,,,1081129,土地1建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810104,127.19,3,2,2,有,無,10600000,83340,,0.0,0,含增建或未登記建物。;,RPPQMLOKJHPFFAF08CA
板橋區,房地(土地+建物),新北市板橋區中正路361~390號,19.2,住,,,1081126,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690121,92.84,3,2,3,有,無,9600000,103404,,0.0,0,,RPSOMLPKJHPFFAF28CA
土城區,土地,頂福段1~30地號,32.07,住,,,1081217,土地12建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3686000,114936,,0.0,0,,RPVOMLPKJHPFFAF58CA
土城區,土地,樂利段1081~1110地號,12.48,住,,,1081209,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2200000,176282,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSPMLPKJHPFFAF38CA
板橋區,房地(土地+建物),新北市板橋區萬安街53巷31~60號,11.95,住,,,1081220,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850213,76.37,3,2,2,有,有,10500000,137489,,0.0,0,04.含增建或未登記建物。,RPWPMLPKJHPFFAF78CA
土城區,土地,冷水段181~210地號,75.49,其他,,,1081225,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5348463,70850,,0.0,0,,RPXPMLPKJHPFFAF88CA
土城區,土地,冷水段181~210地號,271.77,其他,,,1081225,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,19255617,70853,,0.0,0,,RPPQMLPKJHPFFAF18CA
土城區,土地,冷水段181~210地號,75.49,其他,,,1081225,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5348463,70850,,0.0,0,,RPSQMLPKJHPFFAF48CA
土城區,土地,冷水段181~210地號,75.51,其他,,,1081225,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5349900,70850,,0.0,0,,RPTQMLPKJHPFFAF58CA
