鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新屋區,土地,石牌嶺段1231~1260地號,433.0,,特定農業區,甲種建築用地,1081229,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6287160,14520,,0.0,0,,RPSOMLLLJHPFFDH48CA
楊梅區,土地,頭重溪段181~210地號,4114.0,住,,,1081212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,149338800,36300,,0.0,0,,RPRNMLLLJHPFFDH28CA
楊梅區,房地(土地+建物)+車位,桃園市楊梅區瑞溪路一段256巷1~30號,18.93,住,,,1081028,土地1建物1車位1,一層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0881029,137.16,3,2,2,有,有,5050000,36818,升降機械,0.0,0,,RPPOMLLLJHPFFDH18CA
楊梅區,房地(土地+建物),桃園市楊梅區校前路7巷1~30號,134.81,住,,,1081213,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1080527,262.33,4,2,6,有,有,19000000,72428,,0.0,0,,RPQNMLTKJHPFFDH88CA
楊梅區,房地(土地+建物)+車位,桃園市楊梅區青山一街91~120號,21.24,住,,,1081209,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080418,122.86,2,2,1,有,有,6353000,56502,坡道平面,30.97,1161000,,RPSNMLTKJHPFFDH09CA
楊梅區,房地(土地+建物),桃園市楊梅區永平路210巷1~30號,7.72,住,,,1081205,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830316,44.589999999999996,2,2,1,有,無,1400000,31397,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPPNMLKMJHPFFDH08CA
楊梅區,房地(土地+建物),桃園市楊梅區永平路210巷1~30號,7.72,住,,,1090102,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830316,44.589999999999996,2,2,1,有,無,1400000,31397,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPRNMLKMJHPFFDH28CA
楊梅區,房地(土地+建物),桃園市楊梅區三民北路162巷1~30號,18.09,住,,,1081214,土地1建物1車位0,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841230,106.66999999999999,3,2,2,有,有,3400000,31874,,0.0,0,,RPWOMLQKJHPFFDH66CA
楊梅區,房地(土地+建物)+車位,桃園市楊梅區金山街331~360號,21.31,住,,,1081230,土地1建物1車位1,一層,十五層,店面(店鋪),商業用,鋼筋混凝土造,1060802,151.06,0,0,0,無,有,7200000,50268,坡道平面,31.7,1200000,,RPQOMLLMJHPFFDH38CA
楊梅區,房地(土地+建物)+車位,桃園市楊梅區金山街368巷61~90號,15.56,住,,,1081230,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060802,118.92,2,2,1,有,有,5280000,46778,坡道平面,31.7,1200000,裝潢實品屋,RPXNMLKKKHPFFDH78CA
楊梅區,房地(土地+建物),桃園市楊梅區青山一街121~150號,15.47,住,,,1080820,土地2建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071122,95.33,2,2,1,有,有,5271000,55292,,0.0,0,,RPRNMLMKKHPFFDH38CA
蘆竹區,土地,公埔段721~750地號,24.89,住,,,1090106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,40177,,0.0,0,親友、員工或其他特殊關係間之交易。;買賣雙方協議土地增值稅由買方繳納,RPTNMLOKJHPFFEH78CA
大園區,土地,埔心段埔心小段1891~1920地號,2446.67,,特定農業區,農牧用地,1090107,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,44407200,18150,,0.0,0,,RPQOMLOKJHPFFEH58CA
蘆竹區,車位,桃園市蘆竹區南山路一段121~150號,3.26,工,,,1081127,土地0建物0車位1,,,其他,,,,34.0,0,0,0,有,有,1500000,,坡道平面,34.0,1500000,單獨車位交易。;,RPWOMLOKJHPFFEH56CA
大園區,土地,舊厝段181~210地號,6194.07,,特定農業區,農牧用地,1081204,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,53400000,8621,,0.0,0,,RPOPMLOKJHPFFEH48CA
大園區,房地(土地+建物),桃園市大園區大豐一街31~60號,17.05,住,,,1081219,土地1建物1車位0,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040825,115.88,2,1,1,有,無,8000000,69037,,0.0,0,,RPPPMLOKJHPFFEH58CA
大園區,土地,橫山段橫山小段181~210地號,310.71,,特定農業區,農牧用地,1081128,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,12874,,0.0,0,,RPVOMLPKJHPFFEH56CA
大園區,土地,埔心段埔心小段1411~1440地號,907.89,,特定農業區,農牧用地,1081128,土地40建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16000000,17623,,0.0,0,,RPWOMLPKJHPFFEH66CA
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區吉林路121~150號,48.22,住,,,1081202,土地1建物1車位2,四層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950705,300.71000000000004,3,3,2,有,有,20300000,79559,坡道平面,83.26,3000000,,RPSNMLQKJHPFFEH88CA
大園區,土地,橫山段湳子小段151~180地號,122.43,農,,,1081128,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1650000,13477,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUOMLRKJHPFFEH66CA
蘆竹區,土地,長興段661~690地號,1673.14,工,,,1081201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,121468800,72599,,0.0,0,,RPSNMLSKJHPFFEH09CA
大園區,房地(土地+建物),桃園市大園區埔心里15鄰海豐坡1~30號,37.94,,鄉村區,乙種建築用地,1081217,土地2建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820628,125.59,3,1,1,有,無,2000000,15925,,0.0,0,親友、員工或其他特殊關係間之交易。;親友、員工或其他特殊關係間之交易。親屬間交易，非屬市場交易價格。,RPSNMLKLJHPFFEH38CA
蘆竹區,房地(土地+建物),桃園市蘆竹區南順二街1~30號,96.02,住,,,1081111,土地1建物1車位0,一層，二層，三層，四層，見其他登記事項,四層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1080313,318.58,4,2,7,有,無,33000000,103585,,0.0,0,含增建或未登記建物。;,RPQRMLKLJHPFFEH58CA
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區忠孝西路31~60號,43.61,住,,,1080118,土地1建物1車位1,十七層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080918,236.9,3,2,2,有,有,21200000,93541,坡道平面,27.9,1650000,,RPTOMLPJKHPFFEH98CA
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區忠孝西路31~60號,43.75,住,,,1081011,土地1建物1車位2,十五層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080918,274.48,3,2,2,有,有,22680000,90813,坡道平面,65.48,3700000,,RPXOMLPJKHPFFEH76CA
蘆竹區,房地(土地+建物),桃園市蘆竹區南竹路二段31~60號,21.17,住,,,1060720,土地1建物1車位0,一層，二層,二十層,店面(店鋪),見其他登記事項,鋼骨鋼筋混凝土造,1080925,108.81,0,0,0,無,有,11280000,103667,,0.0,0,,RPRNMLTJKHPFFEH09CA
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區南順一街61~90號,27.42,住,,,1070123,土地1建物1車位1,三層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080925,186.05,3,2,2,有,有,15500000,92865,坡道平面,36.36,1600000,,RPSNMLTJKHPFFEH56CA
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區南順一街61~90號,27.42,住,,,1070608,土地1建物1車位1,五層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080925,178.76999999999998,3,2,2,有,有,12700000,74158,坡道平面,29.09,1600000,,RPTNMLTJKHPFFEH66CA
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區南順一街61~90號,27.42,住,,,1070728,土地1建物1車位1,六層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080925,178.7,3,2,2,有,有,12600000,73524,坡道平面,29.09,1600000,,RPUNMLTJKHPFFEH76CA
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區南順一街61~90號,19.52,住,,,1061104,土地1建物1車位1,七層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080925,139.13,2,2,2,有,有,9000000,70952,坡道平面,32.72,1450000,,RPVNMLTJKHPFFEH86CA
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區南順一街61~90號,21.47,住,,,1071107,土地1建物1車位1,七層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080925,150.03,2,2,2,有,有,10370000,75185,坡道平面,32.72,1550000,,RPWNMLTJKHPFFEH96CA
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區南順一街61~90號,21.47,住,,,1070429,土地1建物1車位1,九層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080925,146.39999999999998,2,2,2,有,有,10000000,73310,坡道平面,29.09,1400000,,RPXNMLTJKHPFFEH07CA
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區南順一街61~90號,27.42,住,,,1070624,土地1建物1車位1,六層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080925,182.4,3,2,2,有,有,12760000,74888,坡道平面,32.72,1550000,,RPOOMLTJKHPFFEH88CA
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區南順一街61~90號,27.42,住,,,1070530,土地1建物1車位1,八層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080925,186.05,3,2,2,有,有,12830000,75695,坡道平面,36.36,1500000,,RPPOMLTJKHPFFEH98CA
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區南順一街61~90號,27.42,住,,,1061204,土地1建物1車位1,八層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080925,185.98,3,2,2,有,有,12480000,72722,坡道平面,36.36,1600000,,RPQOMLTJKHPFFEH09CA
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區南順一街61~90號,23.37,住,,,1080428,土地1建物1車位2,十三層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080925,195.25,3,2,2,有,有,13500000,81253,坡道平面,67.87,3150000,,RPROMLTJKHPFFEH56CA
蘆竹區,房地(土地+建物),桃園市蘆竹區南順一街61~90號,23.27,住,,,1080709,土地1建物1車位0,十四層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080925,127.37,3,2,2,有,有,10950000,85970,,0.0,0,,RPSOMLTJKHPFFEH66CA
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區南順一街61~90號,19.52,住,,,1070426,土地1建物1車位1,八層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080925,135.5,2,2,2,有,有,9030000,71704,坡道平面,29.09,1400000,,RPTOMLTJKHPFFEH76CA
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區南順一街61~90號,19.52,住,,,1070501,土地1建物1車位1,九層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080925,139.13,2,2,2,有,有,9350000,74241,坡道平面,32.72,1450000,,RPUOMLTJKHPFFEH86CA
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區南順一街61~90號,19.52,住,,,1070917,土地1建物1車位1,十一層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080925,139.13,2,2,2,有,有,9690000,76497,坡道平面,32.72,1550000,,RPVOMLTJKHPFFEH96CA
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區南順一街61~90號,19.52,住,,,1070922,土地1建物1車位1,十三層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080925,142.77,2,2,2,有,有,9820000,77248,坡道平面,36.36,1600000,,RPWOMLTJKHPFFEH07CA
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區南順一街61~90號,21.47,住,,,1080812,土地1建物1車位1,十四層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080925,146.39999999999998,2,2,2,有,有,11180000,80812,坡道平面,29.09,1700000,,RPXOMLTJKHPFFEH17CA
蘆竹區,土地,坑子口段頭前小段511~540地號,2500.0,,一般農業區,農牧用地,1081129,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,40830000,16332,,0.0,0,,RPVNMLQJKHPFFEH56CA
八德區,房地(土地+建物),桃園市八德區介壽路二段252巷15弄41衖1~30號,21.41,,鄉村區,乙種建築用地,1081209,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0700720,64.86,2,2,1,有,無,2550000,39315,,0.0,0,,RPSNMLOKJHPFFFH78CA
八德區,房地(土地+建物)+車位,桃園市八德區中華路31~60號,10.18,住,,,1081217,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970425,98.22,2,1,1,有,有,4700000,47852,坡道平面,27.43,0,,RPPNMLPKJHPFFFH58CA
八德區,房地(土地+建物),桃園市八德區和平路595巷1~30號,56.08,,鄉村區,乙種建築用地,1081211,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0671120,96.04,3,2,2,有,無,4500000,46855,,0.0,0,,RPROMLPKJHPFFFH88CA
八德區,房地(土地+建物)+車位,桃園市八德區公園路91~120號,37.57,住,,,1081214,土地2建物2車位1,四層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050902,225.51999999999998,3,2,2,有,有,14700000,65183,坡道平面,0.0,0,,RPTNMLNKKHPFFFH88CA
平鎮區,房地(土地+建物),桃園市平鎮區興華街98巷1~30號,77.65,住,,,1081213,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0670704,82.25,3,2,2,有,無,7500000,91185,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPWPMLNKJHPFFGH76CA
平鎮區,房地(土地+建物),桃園市平鎮區大連街91~120號,8.67,商,,,1081118,土地1建物1車位0,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050701,88.75999999999999,2,2,2,有,有,5300000,59712,,0.0,0,,RPPNMLTKJHPFFGH09CA
平鎮區,房地(土地+建物),桃園市平鎮區環南路二段241~270號,10.32,其他,,,1081207,土地2建物1車位0,十三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840421,109.81,3,2,2,有,有,6000000,54640,,0.0,0,,RPQOMLPKJHPFFGH88CA
平鎮區,土地,平安段241~270地號,501.88,農,,,1081120,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7280000,14505,,0.0,0,,RPSNMLKMJHPFFGH68CA
平鎮區,房地(土地+建物)+車位,桃園市平鎮區上海路211巷1~30號,35.8,商,,,1081215,土地1建物1車位1,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0851108,144.39,3,2,2,有,無,3550000,24586,坡道平面,0.0,0,,RPXNMLMLJHPFFGH66CA
平鎮區,房地(土地+建物)+車位,桃園市平鎮區平德路91~120號,27.98,,鄉村區,乙種建築用地,1081213,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080621,146.98000000000002,3,2,2,有,有,6050000,39822,坡道平面,27.7,1300000,,RPROMLOJKHPFFGH88CA
平鎮區,房地(土地+建物)+車位,桃園市平鎮區平德路91~120號,30.63,,鄉村區,乙種建築用地,1081207,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080621,158.53,3,2,2,有,有,6800000,42039,坡道平面,27.7,1300000,,RPSOMLOJKHPFFGH98CA
平鎮區,房地(土地+建物)+車位,桃園市平鎮區中正三路61~90號,17.26,商,,,1081224,土地1建物1車位1,六層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040930,185.28,3,2,2,有,有,8000000,43178,坡道平面,38.94,0,,RPVOMLRJKHPFFGH96CA
龜山區,房地(土地+建物),桃園市龜山區忠義路一段181~210號,92.71,住,,,1081203,土地5建物2車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,0881116,266.61,4,2,4,有,有,13600000,51011,,0.0,0,含增建或未登記建物。;門前可停車,RPOTMLOKJHPFFHH56CA
龜山區,房地(土地+建物),桃園市龜山區萬壽路一段421~450號,256.63,工,,,1081126,土地1建物1車位0,一層，二層，騎樓,二層,工廠,見其他登記事項,鋼筋混凝土造,0770104,418.04,0,0,0,無,無,34300000,,,0.0,0,含增建或未登記建物。;,RPQPMLQKJHPFFHH56CA
龜山區,房地(土地+建物),桃園市龜山區德明路77巷1~30號,38.62,住,,,1081119,土地1建物1車位0,一層，夾層,五層,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0931118,85.03,0,0,0,無,有,9000000,105845,,0.0,0,,RPOQMLRKJHPFFHH56CA
龜山區,房地(土地+建物),桃園市龜山區文二三街1~30號,6.67,商,,,1081226,土地1建物1車位0,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860103,41.39,0,0,0,無,有,3200000,77313,,0.0,0,含增建或未登記建物。;,RPOOMLLLJHPFFHH48CA
龜山區,房地(土地+建物),桃園市龜山區文化三路1~30號,18.77,住,,,1041129,土地1建物1車位0,一層，二層,十層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1081007,94.56,0,0,0,無,有,25650000,271256,,0.0,0,,RPUNMLNJKHPFFHH09CA
龜山區,房地(土地+建物)+車位,桃園市龜山區文化三路1巷61~90號,40.78,住,,,1051208,土地1建物1車位2,五層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1081007,205.46,3,2,2,有,有,19200000,109397,坡道平面,62.86,3600000,,RPWNMLNJKHPFFHH66CA
龜山區,房地(土地+建物)+車位,桃園市龜山區文化三路1巷61~90號,34.55,住,,,1041123,土地1建物1車位1,六層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1081007,174.02,3,2,2,有,有,16920000,106038,坡道平面,31.43,1800000,,RPXNMLNJKHPFFHH76CA
龜山區,房地(土地+建物)+車位,桃園市龜山區文化三路1巷61~90號,37.6,住,,,1060222,土地1建物1車位1,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1081007,189.41,3,2,2,有,有,19450000,110457,坡道平面,31.43,2000000,,RPOOMLNJKHPFFHH58CA
龜山區,房地(土地+建物)+車位,桃園市龜山區文化三路1巷61~90號,37.6,住,,,1060320,土地1建物1車位1,九層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1081007,189.41,3,2,2,有,有,19300000,110774,坡道平面,31.43,1800000,,RPPOMLNJKHPFFHH68CA
龜山區,房地(土地+建物)+車位,桃園市龜山區文化三路1巷61~90號,37.6,住,,,1041025,土地1建物1車位1,十層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1081007,189.41,3,2,2,有,有,18250000,103494,坡道平面,31.43,1900000,,RPQOMLNJKHPFFHH78CA
龜山區,房地(土地+建物),桃園市龜山區福源街73巷19弄1~30號,47.5,,山坡地保育區,丙種建築用地,1081216,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0841026,95.27999999999999,3,2,2,有,無,2450000,25714,,0.0,0,,RPRNMLPJKHPFFHH98CA
龜山區,房地(土地+建物)+車位,桃園市龜山區楓樹一街31~60號,137.13,住,,,1081001,土地1建物1車位1,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1020115,367.37,4,3,5,有,無,23000000,62607,一樓平面,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUNMLPJKHPFFHH66CA
桃園區,房地(土地+建物)+車位,桃園市桃園區國強十三街61~90號,21.92,住,,,1081101,土地1建物1車位1,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841128,154.85,3,2,2,有,有,6900000,44559,坡道平面,0.0,0,含增建或未登記建物。,RPVRMLRKJHPFFAH76DA
桃園區,房地(土地+建物)+車位,桃園市桃園區中埔二街31~60號,13.0,住,,,1081215,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940425,142.18,3,2,2,有,有,9900000,69635,坡道平面,0.0,1200000,含增建或未登記建物。;,RPOPMLMLJHPFFAH08DA
桃園區,房地(土地+建物)+車位,桃園市桃園區桃鶯路361~390號,18.26,住,,,1081214,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001128,156.54000000000002,3,2,2,有,有,8400000,60354,坡道平面,33.93,1000000,含增建或未登記建物。;,RPPPMLMLJHPFFAH18DA
桃園區,房地(土地+建物)+車位,桃園市桃園區莊敬路一段331~360號,20.19,住,,,1081223,土地2建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900223,182.75,4,2,2,有,有,12680000,69384,坡道平面,0.0,1500000,,RPQPMLMLJHPFFAH28DA
中壢區,土地,中興段691~720地號,8.3,其他,,,1090109,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1170000,140964,,0.0,0,,RPTSMLNKJHPFFBH98DA
中壢區,房地(土地+建物),桃園市中壢區龍門街79巷12弄1~30號,69.6,住,,,1081213,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0701204,84.0,4,2,2,有,無,3200000,38095,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPXTMLPKJHPFFBH07DA
中壢區,房地(土地+建物),桃園市中壢區復華街85巷1~30號,105.0,住,,,1081212,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0680310,131.71,5,2,3,有,無,4500000,34166,,0.0,0,,RPRTMLQKJHPFFBH56DA
中壢區,土地,新街段121~150地號,6.99,住,,,1081217,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,422760,60481,,0.0,0,,RPPOMLKLJHPFFBH97DA
中壢區,土地,復興段181~210地號,196.18,其他,,,1081127,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2315979,11805,,0.0,0,包含公共設施保留地之交易。;,RPTOMLRJKHPFFBH98DA
蘆竹區,房地(土地+建物),桃園市蘆竹區奉化路121~150號,4.96,商,,,1081014,土地1建物1車位0,三層,十六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850528,40.56999999999999,1,1,1,有,有,3000000,73946,,0.0,0,,RPTOMLRKJHPFFEH66DA
平鎮區,土地,廣東段1411~1440地號,141.0,其他,,,1081127,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2154009,15277,,0.0,0,包含公共設施保留地之交易。;,RPSNMLRJKHPFFGH66DA
桃園區,房地(土地+建物),桃園市桃園區秀山路96巷1~30號,82.0,住,,,1081117,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0681012,92.5,3,2,2,有,無,10360000,112000,,0.0,0,,RPQNMLQKJHPFFAH48EA
大園區,房地(土地+建物),桃園市大園區信義街1~30號,63.11,住,,,1081212,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,0620920,58.92,3,2,2,有,無,6800000,115411,,0.0,0,,RPPOMLQKJHPFFEH88EA
桃園區,房地(土地+建物),桃園市桃園區雙龍街8巷1~30號,53.01,住,,,1081122,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0780807,55.56,4,2,3,有,無,8500000,152988,,0.0,0,,RPXQMLNKJHPFFAH98CA
桃園區,房地(土地+建物)+車位,桃園市桃園區龍城一街61~90號,20.4,住,,,1080323,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080515,150.41000000000003,3,2,2,有,有,8020000,59700,坡道平面,40.36,1450000,,RPROMLOKJHPFFAH28CA
桃園區,房地(土地+建物)+車位,桃園市桃園區龍城一街61~90號,15.11,住,,,1081125,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080515,120.97999999999999,2,2,1,有,有,6530000,63012,坡道平面,40.36,1450000,,RPUOMLOKJHPFFAH58CA
桃園區,房地(土地+建物)+車位,桃園市桃園區龍城一街31~60號,15.11,住,,,1081126,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080515,119.4,2,2,1,有,有,6100000,58918,坡道平面,38.78,1350000,,RPWOMLOKJHPFFAH78CA
桃園區,房地(土地+建物)+車位,桃園市桃園區龍城一街91~120號,17.6,住,,,1080616,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080515,135.95,3,2,1,有,有,6850000,57696,坡道平面,41.49,1400000,,RPPPMLOKJHPFFAH18CA
